scene,floor,image1,image2,label
Anaheim,2,0,1,1
Anaheim,2,0,2,1
Anaheim,2,0,3,0
Anaheim,2,0,4,1
Anaheim,2,0,5,0
Anaheim,2,1,2,0
Anaheim,2,1,3,1
Anaheim,2,1,4,0
Anaheim,2,1,5,0
Anaheim,2,2,3,0
Anaheim,2,2,4,1
Anaheim,2,2,5,0
Anaheim,2,3,4,0
Anaheim,2,3,5,0
Anaheim,2,4,5,0
Anaheim,1,0,1,0
Anaheim,1,0,2,0
Anaheim,1,0,3,0
Anaheim,1,0,4,1
Anaheim,1,0,5,0
Anaheim,1,0,6,0
Anaheim,1,0,7,0
Anaheim,1,0,8,1
Anaheim,1,0,9,1
Anaheim,1,0,10,0
Anaheim,1,1,2,0
Anaheim,1,1,3,1
Anaheim,1,1,4,1
Anaheim,1,1,5,1
Anaheim,1,1,6,1
Anaheim,1,1,7,0
Anaheim,1,1,8,0
Anaheim,1,1,9,0
Anaheim,1,1,10,0
Anaheim,1,2,3,0
Anaheim,1,2,4,1
Anaheim,1,2,5,1
Anaheim,1,2,6,0
Anaheim,1,2,7,1
Anaheim,1,2,8,0
Anaheim,1,2,9,1
Anaheim,1,2,10,0
Anaheim,1,3,4,0
Anaheim,1,3,5,1
Anaheim,1,3,6,0
Anaheim,1,3,7,0
Anaheim,1,3,8,0
Anaheim,1,3,9,0
Anaheim,1,3,10,1
Anaheim,1,4,5,1
Anaheim,1,4,6,1
Anaheim,1,4,7,1
Anaheim,1,4,8,0
Anaheim,1,4,9,1
Anaheim,1,4,10,0
Anaheim,1,5,6,0
Anaheim,1,5,7,0
Anaheim,1,5,8,0
Anaheim,1,5,9,0
Anaheim,1,5,10,1
Anaheim,1,6,7,0
Anaheim,1,6,8,0
Anaheim,1,6,9,1
Anaheim,1,6,10,0
Anaheim,1,7,8,1
Anaheim,1,7,9,1
Anaheim,1,7,10,0
Anaheim,1,8,9,0
Anaheim,1,8,10,1
Anaheim,1,9,10,0
Anaheim,0,0,1,1
Anaheim,0,0,2,0
Anaheim,0,0,3,1
Anaheim,0,0,4,1
Anaheim,0,0,5,0
Anaheim,0,0,6,0
Anaheim,0,0,7,0
Anaheim,0,0,8,0
Anaheim,0,0,9,1
Anaheim,0,0,10,0
Anaheim,0,0,11,0
Anaheim,0,0,12,1
Anaheim,0,1,2,0
Anaheim,0,1,3,1
Anaheim,0,1,4,1
Anaheim,0,1,5,0
Anaheim,0,1,6,0
Anaheim,0,1,7,0
Anaheim,0,1,8,0
Anaheim,0,1,9,0
Anaheim,0,1,10,0
Anaheim,0,1,11,1
Anaheim,0,1,12,1
Anaheim,0,2,3,0
Anaheim,0,2,4,0
Anaheim,0,2,5,1
Anaheim,0,2,6,0
Anaheim,0,2,7,0
Anaheim,0,2,8,0
Anaheim,0,2,9,0
Anaheim,0,2,10,0
Anaheim,0,2,11,0
Anaheim,0,2,12,0
Anaheim,0,3,4,1
Anaheim,0,3,5,0
Anaheim,0,3,6,0
Anaheim,0,3,7,0
Anaheim,0,3,8,0
Anaheim,0,3,9,1
Anaheim,0,3,10,0
Anaheim,0,3,11,1
Anaheim,0,3,12,1
Anaheim,0,4,5,0
Anaheim,0,4,6,0
Anaheim,0,4,7,1
Anaheim,0,4,8,1
Anaheim,0,4,9,1
Anaheim,0,4,10,1
Anaheim,0,4,11,1
Anaheim,0,4,12,0
Anaheim,0,5,6,1
Anaheim,0,5,7,0
Anaheim,0,5,8,0
Anaheim,0,5,9,0
Anaheim,0,5,10,0
Anaheim,0,5,11,0
Anaheim,0,5,12,0
Anaheim,0,6,7,0
Anaheim,0,6,8,0
Anaheim,0,6,9,0
Anaheim,0,6,10,0
Anaheim,0,6,11,0
Anaheim,0,6,12,0
Anaheim,0,7,8,1
Anaheim,0,7,9,1
Anaheim,0,7,10,1
Anaheim,0,7,11,1
Anaheim,0,7,12,0
Anaheim,0,8,9,1
Anaheim,0,8,10,1
Anaheim,0,8,11,0
Anaheim,0,8,12,0
Anaheim,0,9,10,1
Anaheim,0,9,11,0
Anaheim,0,9,12,1
Anaheim,0,10,11,0
Anaheim,0,10,12,0
Anaheim,0,11,12,1
Arkansaw,2,0,1,1
Arkansaw,2,0,2,1
Arkansaw,2,1,2,1
Arkansaw,1,0,1,0
Arkansaw,1,0,2,0
Arkansaw,1,0,3,0
Arkansaw,1,0,4,0
Arkansaw,1,0,5,0
Arkansaw,1,0,6,0
Arkansaw,1,0,7,0
Arkansaw,1,0,8,0
Arkansaw,1,0,9,0
Arkansaw,1,0,10,0
Arkansaw,1,0,11,0
Arkansaw,1,0,12,0
Arkansaw,1,0,13,0
Arkansaw,1,1,2,1
Arkansaw,1,1,3,0
Arkansaw,1,1,4,0
Arkansaw,1,1,5,0
Arkansaw,1,1,6,0
Arkansaw,1,1,7,0
Arkansaw,1,1,8,0
Arkansaw,1,1,9,0
Arkansaw,1,1,10,0
Arkansaw,1,1,11,1
Arkansaw,1,1,12,1
Arkansaw,1,1,13,0
Arkansaw,1,2,3,1
Arkansaw,1,2,4,0
Arkansaw,1,2,5,0
Arkansaw,1,2,6,0
Arkansaw,1,2,7,0
Arkansaw,1,2,8,0
Arkansaw,1,2,9,0
Arkansaw,1,2,10,0
Arkansaw,1,2,11,1
Arkansaw,1,2,12,1
Arkansaw,1,2,13,0
Arkansaw,1,3,4,0
Arkansaw,1,3,5,0
Arkansaw,1,3,6,1
Arkansaw,1,3,7,0
Arkansaw,1,3,8,0
Arkansaw,1,3,9,0
Arkansaw,1,3,10,0
Arkansaw,1,3,11,1
Arkansaw,1,3,12,1
Arkansaw,1,3,13,1
Arkansaw,1,4,5,0
Arkansaw,1,4,6,0
Arkansaw,1,4,7,0
Arkansaw,1,4,8,0
Arkansaw,1,4,9,0
Arkansaw,1,4,10,0
Arkansaw,1,4,11,0
Arkansaw,1,4,12,0
Arkansaw,1,4,13,0
Arkansaw,1,5,6,0
Arkansaw,1,5,7,0
Arkansaw,1,5,8,1
Arkansaw,1,5,9,0
Arkansaw,1,5,10,1
Arkansaw,1,5,11,0
Arkansaw,1,5,12,0
Arkansaw,1,5,13,0
Arkansaw,1,6,7,1
Arkansaw,1,6,8,0
Arkansaw,1,6,9,0
Arkansaw,1,6,10,0
Arkansaw,1,6,11,0
Arkansaw,1,6,12,1
Arkansaw,1,6,13,0
Arkansaw,1,7,8,0
Arkansaw,1,7,9,1
Arkansaw,1,7,10,0
Arkansaw,1,7,11,0
Arkansaw,1,7,12,1
Arkansaw,1,7,13,0
Arkansaw,1,8,9,0
Arkansaw,1,8,10,1
Arkansaw,1,8,11,0
Arkansaw,1,8,12,0
Arkansaw,1,8,13,0
Arkansaw,1,9,10,0
Arkansaw,1,9,11,0
Arkansaw,1,9,12,1
Arkansaw,1,9,13,0
Arkansaw,1,10,11,0
Arkansaw,1,10,12,0
Arkansaw,1,10,13,0
Arkansaw,1,11,12,1
Arkansaw,1,11,13,0
Arkansaw,1,12,13,0
Arkansaw,0,0,1,1
Arkansaw,0,0,2,0
Arkansaw,0,0,3,0
Arkansaw,0,0,4,0
Arkansaw,0,0,5,0
Arkansaw,0,0,6,0
Arkansaw,0,0,7,0
Arkansaw,0,0,8,1
Arkansaw,0,1,2,0
Arkansaw,0,1,3,0
Arkansaw,0,1,4,0
Arkansaw,0,1,5,0
Arkansaw,0,1,6,0
Arkansaw,0,1,7,0
Arkansaw,0,1,8,1
Arkansaw,0,2,3,0
Arkansaw,0,2,4,0
Arkansaw,0,2,5,0
Arkansaw,0,2,6,0
Arkansaw,0,2,7,1
Arkansaw,0,2,8,0
Arkansaw,0,3,4,0
Arkansaw,0,3,5,0
Arkansaw,0,3,6,1
Arkansaw,0,3,7,0
Arkansaw,0,3,8,0
Arkansaw,0,4,5,1
Arkansaw,0,4,6,1
Arkansaw,0,4,7,0
Arkansaw,0,4,8,0
Arkansaw,0,5,6,1
Arkansaw,0,5,7,0
Arkansaw,0,5,8,0
Arkansaw,0,6,7,0
Arkansaw,0,6,8,0
Arkansaw,0,7,8,0
Avonia,0,0,1,1
Avonia,0,0,2,0
Avonia,0,0,3,0
Avonia,0,0,4,0
Avonia,0,0,5,0
Avonia,0,0,6,0
Avonia,0,1,2,0
Avonia,0,1,3,0
Avonia,0,1,4,0
Avonia,0,1,5,0
Avonia,0,1,6,0
Avonia,0,2,3,0
Avonia,0,2,4,1
Avonia,0,2,5,0
Avonia,0,2,6,0
Avonia,0,3,4,0
Avonia,0,3,5,1
Avonia,0,3,6,1
Avonia,0,4,5,0
Avonia,0,4,6,1
Avonia,0,5,6,0
Azusa,1,0,1,0
Azusa,0,0,1,1
Azusa,0,0,2,0
Azusa,0,0,3,0
Azusa,0,0,4,0
Azusa,0,0,5,1
Azusa,0,0,6,0
Azusa,0,0,7,1
Azusa,0,0,8,0
Azusa,0,0,9,0
Azusa,0,0,10,0
Azusa,0,0,11,1
Azusa,0,0,12,1
Azusa,0,0,13,0
Azusa,0,0,14,0
Azusa,0,0,15,1
Azusa,0,0,16,0
Azusa,0,0,17,0
Azusa,0,0,18,0
Azusa,0,1,2,1
Azusa,0,1,3,0
Azusa,0,1,4,0
Azusa,0,1,5,1
Azusa,0,1,6,0
Azusa,0,1,7,0
Azusa,0,1,8,0
Azusa,0,1,9,0
Azusa,0,1,10,0
Azusa,0,1,11,0
Azusa,0,1,12,0
Azusa,0,1,13,0
Azusa,0,1,14,0
Azusa,0,1,15,1
Azusa,0,1,16,0
Azusa,0,1,17,1
Azusa,0,1,18,0
Azusa,0,2,3,1
Azusa,0,2,4,0
Azusa,0,2,5,0
Azusa,0,2,6,1
Azusa,0,2,7,1
Azusa,0,2,8,0
Azusa,0,2,9,0
Azusa,0,2,10,1
Azusa,0,2,11,1
Azusa,0,2,12,0
Azusa,0,2,13,1
Azusa,0,2,14,0
Azusa,0,2,15,0
Azusa,0,2,16,0
Azusa,0,2,17,1
Azusa,0,2,18,0
Azusa,0,3,4,0
Azusa,0,3,5,1
Azusa,0,3,6,0
Azusa,0,3,7,1
Azusa,0,3,8,0
Azusa,0,3,9,0
Azusa,0,3,10,1
Azusa,0,3,11,1
Azusa,0,3,12,0
Azusa,0,3,13,0
Azusa,0,3,14,0
Azusa,0,3,15,1
Azusa,0,3,16,0
Azusa,0,3,17,1
Azusa,0,3,18,0
Azusa,0,4,5,0
Azusa,0,4,6,0
Azusa,0,4,7,0
Azusa,0,4,8,1
Azusa,0,4,9,1
Azusa,0,4,10,0
Azusa,0,4,11,0
Azusa,0,4,12,0
Azusa,0,4,13,0
Azusa,0,4,14,0
Azusa,0,4,15,0
Azusa,0,4,16,0
Azusa,0,4,17,0
Azusa,0,4,18,0
Azusa,0,5,6,0
Azusa,0,5,7,0
Azusa,0,5,8,0
Azusa,0,5,9,0
Azusa,0,5,10,0
Azusa,0,5,11,0
Azusa,0,5,12,0
Azusa,0,5,13,0
Azusa,0,5,14,0
Azusa,0,5,15,1
Azusa,0,5,16,0
Azusa,0,5,17,0
Azusa,0,5,18,0
Azusa,0,6,7,0
Azusa,0,6,8,0
Azusa,0,6,9,0
Azusa,0,6,10,0
Azusa,0,6,11,1
Azusa,0,6,12,0
Azusa,0,6,13,0
Azusa,0,6,14,0
Azusa,0,6,15,0
Azusa,0,6,16,0
Azusa,0,6,17,0
Azusa,0,6,18,0
Azusa,0,7,8,0
Azusa,0,7,9,0
Azusa,0,7,10,1
Azusa,0,7,11,1
Azusa,0,7,12,0
Azusa,0,7,13,0
Azusa,0,7,14,0
Azusa,0,7,15,0
Azusa,0,7,16,0
Azusa,0,7,17,1
Azusa,0,7,18,0
Azusa,0,8,9,1
Azusa,0,8,10,0
Azusa,0,8,11,0
Azusa,0,8,12,0
Azusa,0,8,13,0
Azusa,0,8,14,0
Azusa,0,8,15,0
Azusa,0,8,16,0
Azusa,0,8,17,0
Azusa,0,8,18,0
Azusa,0,9,10,0
Azusa,0,9,11,0
Azusa,0,9,12,0
Azusa,0,9,13,0
Azusa,0,9,14,0
Azusa,0,9,15,0
Azusa,0,9,16,0
Azusa,0,9,17,0
Azusa,0,9,18,0
Azusa,0,10,11,1
Azusa,0,10,12,1
Azusa,0,10,13,0
Azusa,0,10,14,0
Azusa,0,10,15,0
Azusa,0,10,16,0
Azusa,0,10,17,1
Azusa,0,10,18,0
Azusa,0,11,12,0
Azusa,0,11,13,0
Azusa,0,11,14,0
Azusa,0,11,15,0
Azusa,0,11,16,1
Azusa,0,11,17,1
Azusa,0,11,18,0
Azusa,0,12,13,0
Azusa,0,12,14,0
Azusa,0,12,15,1
Azusa,0,12,16,0
Azusa,0,12,17,0
Azusa,0,12,18,0
Azusa,0,13,14,0
Azusa,0,13,15,0
Azusa,0,13,16,1
Azusa,0,13,17,0
Azusa,0,13,18,0
Azusa,0,14,15,0
Azusa,0,14,16,0
Azusa,0,14,17,0
Azusa,0,14,18,0
Azusa,0,15,16,0
Azusa,0,15,17,0
Azusa,0,15,18,0
Azusa,0,16,17,1
Azusa,0,16,18,0
Azusa,0,17,18,0
Bolton,0,0,1,0
Bolton,0,0,2,1
Bolton,0,0,3,0
Bolton,0,0,4,0
Bolton,0,0,5,1
Bolton,0,0,6,0
Bolton,0,0,7,0
Bolton,0,0,8,0
Bolton,0,0,9,0
Bolton,0,1,2,0
Bolton,0,1,3,0
Bolton,0,1,4,1
Bolton,0,1,5,0
Bolton,0,1,6,1
Bolton,0,1,7,1
Bolton,0,1,8,0
Bolton,0,1,9,0
Bolton,0,2,3,0
Bolton,0,2,4,0
Bolton,0,2,5,1
Bolton,0,2,6,0
Bolton,0,2,7,0
Bolton,0,2,8,0
Bolton,0,2,9,1
Bolton,0,3,4,0
Bolton,0,3,5,0
Bolton,0,3,6,0
Bolton,0,3,7,0
Bolton,0,3,8,1
Bolton,0,3,9,0
Bolton,0,4,5,0
Bolton,0,4,6,0
Bolton,0,4,7,0
Bolton,0,4,8,0
Bolton,0,4,9,0
Bolton,0,5,6,0
Bolton,0,5,7,0
Bolton,0,5,8,0
Bolton,0,5,9,0
Bolton,0,6,7,1
Bolton,0,6,8,0
Bolton,0,6,9,0
Bolton,0,7,8,0
Bolton,0,7,9,1
Bolton,0,8,9,0
Bowlus,2,0,1,0
Bowlus,2,0,2,0
Bowlus,2,0,3,0
Bowlus,2,0,4,0
Bowlus,2,0,5,0
Bowlus,2,0,6,0
Bowlus,2,0,7,1
Bowlus,2,1,2,1
Bowlus,2,1,3,0
Bowlus,2,1,4,0
Bowlus,2,1,5,1
Bowlus,2,1,6,0
Bowlus,2,1,7,1
Bowlus,2,2,3,0
Bowlus,2,2,4,0
Bowlus,2,2,5,1
